Nid,Title,Description,Summary,Subject(s)
9204,Responding to substance abuse and offending in Indigenous communities: review of diversion programs,"This report outlines the diversion programs currently operating for Indigenous offenders. Access to diversion programs and barriers to participation and completion determine the effectiveness of programs. Other issues raised relate to the expansion of programs for participants and support services to cover drugs outside the scope of current diversion programs, wider and clearer dissemination of information to improve access, improving opportunities to access treatment, the need for appropriate treatment services and review of eligibility criteria for drug diversion programs.
",,Aboriginal Australians
9245,The end of ATSIC and the future administration of Indigenous affairs,"This paper discussed a range of issues raised by the government's announcement in April 2004 that it would abolish the Aboriginal and Torres Strait Islander Commission, and the Labor opposition's announcement a few weeks earlier that it would do likewise in government. 

They provide a brief history of the administration of Indigenous affairs before ATSIC was established in 1989; an overview of how ATSIC worked, including its roles and functions, structure and governance, and funding arrangements; and an outline of the government's plans for Indigenous affairs policy-making and service-delivery post-ATSIC. They also canvass a range of broader issues raised by ATSIC's abolition, including the question of whether there is a continuing role for an elected Indigenous representative body in the Australian political system, and point out those areas where the Bill might go further than required or fail to take advantage of exceptions allowed.
",,Aboriginal Australians
9265,Working with Aboriginal people and communities: A practical resource,"This practice resource is a guide for all Community Services and relevant non-government organisation (NGO) staff, particularly field staff. It has been developed to improve service delivery to Aboriginal people by providing staff with key facts, and information relevant to working with Aboriginal communities in NSW. 
",,Aboriginal Australians
14238,Is 'Close the Gap' a useful approach?,"There is widespread enthusiasm for the Australian government's commitment to 'Close the Gap' in Indigenous disadvantage, health status and life expectancy. Yet despite the rhetoric, the pursuit of statistical equality for Indigenous Australians is not a novel or particularly promising approach.{C}
 It is also an approach that reduces Indigenous Australians to a range of indicators of deficit, to be monitored and rectified towards government-set targets. This illustrates a substantial imbalance in power and control over the Indigenous affairs agenda in Australia, which is the 'gap' that must be addressed for the health and wellbeing of Indigenous Australians to improve.
",,Aboriginal Australians
14253,How young Indigenous people are faring,"This report uses ABS Census data to examine and comment on changes in the education and labour force participation of young Indigenous people (15 to 19 year-olds, 20 to 24 year-olds and 25 to 29 year-olds). 
This paper is complemented by a second publication, Keeping up, which provides case studies and identifies improvements that can be made.
",,Aboriginal Australians
14424,"Developing a national Indigenous policy framework that recognises needs, rights and legacies and delivers results ","It argues for a very different policy framework that looks to openly combine three interlinked elements: needs-based citizenship rights, special Indigenous rights, and compensatory ‘social justice’ rights.
 
This paper is based on a presentation to the Australian Council of Social Service (ACOSS) National Conference, ‘Building a Fair Australia in Tough Economic Times’, Australian Technology Park, Sydney, on 2 April 2009.
",,Aboriginal Australians
14560,"Experimental life tables for Aboriginal and Torres Strait Islander Australians, 2005–2007 ","Life expectancy at birth of Indigenous Australians was 67.2 years for men and 72.9 years for women for 2005–2007, according to experimental figures released by the ABS.
The ABS reported that the life expectancy of Aboriginal and Torres Strait Islander men is 11.5 years lower than for non-Indigenous men, while life expectancy of Indigenous women is 9.7 years lower than for non-Indigenous women.
 In releasing the data today, the ABS noted that the life expectancy estimates were derived using a new method which drew on information from the ABS Indigenous Mortality Quality Study conducted in 2006-07 as part of the Census Data Enhancement Project. The availability of that information considerably improved the quality and robustness of the estimates. Previously published Indigenous life expectancy estimates had been derived using methods based on a range of assumptions and those estimates were very sensitive to the assumptions made.
The ABS has warned that due to the considerable methodological changes, the current estimates should not be compared with the previously published 1996-2001 life expectancy estimates and the differences in the estimates should not be interpreted as changes in Indigenous life expectancy over time.
 At the state/territory level, estimates could only be compiled for New South Wales, Queensland, Western Australia and Northern Territory. Of these New South Wales had the highest life expectancy for Indigenous men (69.9 years) and women (75.0 years). The Northern Territory had the lowest life expectancy for Indigenous men (61.5 years) and women (69.2 years).
 
",,Aboriginal Australians
15326,2005 Indigenous engagement report,"Rod McDonald presents a model for the effective delivery of e-learning programs to Indigenous learners by registered training organisations, individuals, communities, and other organisations. The report identifies key strategies that have led to positive training outcomes with Indigenous learners and involved a comprehensive analysis of e-learning activity within Indigenous communities across Australia. The types of e-learning activity examined by the report included the application of electronic media in the delivery of training and education such as the use of web, CD-ROM or computer-based learning resources and online assessment activities.
Key factors leading to positive training outcomes identified in the report included ensuring community involvement and ownership, providing flexibility in program design, content and delivery, and incorporating Indigenous identities, cultures, knowledge and values into training and education programs.
The report also reveals that there is considerable evidence of e-learning and innovation occurring within Indigenous communities at a national level, however much of this is happening in isolated pockets. Report outcomes will be used by the Indigenous Engagement Project to develop strategies for 2006 and beyond.
",,Aboriginal Australians
15462,CMKb: a web-based prototype for integrating Australian Aboriginal customary medicinal plant knowledge,"The customary medicinal plant knowledge possessed by the Australian Aboriginal people is a significant resource. Published information on it is scattered throughout the literature, in heterogeneous data formats, and is scattered among various Aboriginal communities across Australia, due to a multiplicity of languages. This ancient knowledge is at risk due to loss of biodiversity, cultural impact and the demise of many of its custodians. The authors of this paper have developed the Customary Medicinal Knowledgebase (CMKb), an integrated multidisciplinary resource, to document, conserve and disseminate this knowledge.
 Written by Jitendra Gaikwad, Varun Khanna, Subramanyam Vemulpad, Joanne Jamie, Jim Kohen and Shoba Ranganathan.
",,Aboriginal Australians
16059,Yolngu studies: A case study of Aboriginal community engagement ,"The Yolngu studies program at Charles Darwin University has been active in the teaching of Yolngu (East Arnhemland Aboriginal) languages and culture, in collaborative transdisciplinary research, and in community engagement for well over ten years. The original undergraduate teaching program was set up under the guidance of Yolngu elders. They instituted key principles for the tertiary level teaching of Yolngu languages and culture, which reflected protocols for knowledge production and representation derived from traditional culture. These principles ensured the continuation of an ongoing community engagement practice that enabled the flourishing of a collaborative research culture in which projects were negotiated; these projects remain faithful to both western academic standards, and ancestral Aboriginal practices. The paper gives details of the program, the underlying Aboriginal philosophy, and some of the research projects. The success of the whole program can be seen to derive from the co-constitutivity of community engagement, research and teaching. In 2005 the program won the Prime Minister's award for Australia's best tertiary teaching program.
 NB: to access this article it is necessary to register with Gateways (at no cost) and provide contact information.
",,Aboriginal Australians
16409,Reporting on Indigenous issues,"Antony Funnell interviews Tony Koch, senior reporter with The Australian newspaper, and this year's winner of the prestigious Graham Perkin Award for Journalism, an award he won for his coverage of Indigenous issues.
",,Aboriginal Australians
17284,Review of the Australian government Indigenous Broadcasting Program,"The broad objective of the Indigenous Broadcasting Program is to increase the availability of Indigenous-specific radio and television broadcasts to Indigenous audiences. To achieve this objective, this discussion paper proposes a new approach designed to address historical funding disparities; establish a more equitable distribution of funding; increase the availability of new services; and provide further transparency in the funding process.
",,Aboriginal Australians
19012,"Wild rivers, conservation and Indigenous rights: an impossible balance?","This article discusses Queensland's controversial Wild Rivers Act, arguing that it steamrolls Cape York communities’ fundamental rights to culture, land and development.
 Given the federal government’s recent approval of the Four Mile uranium mine, the authors contend that neither the burdens of environmental conservation, nor the benefits of economic development, are evenly spread across Australian communities.
Image: Charlie Brewer / Flickr
",,Aboriginal Australians
19618,Study of the expert mechanism on the rights of indigenous peoples,"
Indigenous peoples have historically been among the poorest and most excluded and disadvantaged sector of society. A major factor contributing to the disadvantaged position of indigenous peoples is the lack of quality education - which may be defined as education that is well resourced, culturally sensitive, respectful of heritage and that takes into account history, cultural security and integrity, encompasses human rights, community and individual development, and is designed in a way that is implementable - depriving millions of indigenous children of the basic human right to education. 
International human rights law recognizes the right to education as a basic human right for everyone. When elaborating on the right to education of indigenous peoples, it is necessary to take into account two categories of human rights provisions: (a) general human rights provisions acknowledging and defining the content of the individual right to education; and (b) international standards specifically recognizing indigenous peoples’ rights, including the provisions of the United Nations Declaration on the Rights of Indigenous Peoples.
",,Aboriginal Australians
20022,Top Indigenous reports 2009,"The five most read reports and commentary pieces in the Indigenous area in 2009 were:
 
1. Overcoming Indigenous disadvantage: key indicators 2009Steering Committee for the Review of Government Service Provision |  Productivity Commission
2. Is 'Close the Gap' a useful approach?Kerryn Pholi, Dan Black and Craig Richards | Australian Review of Public Affairs
3. Culture and wellbeing: the case of Indigenous Australians>Alfred Michael Dockery | Centre for Labour Market Research
4. Ideology, evidence and competing principles in Australian Indigenous affairs: from Brough to Rudd via Pearson and the NTERWill Sanders | Centre for Aboriginal Economic Policy Research
5. ""You can drop dead"": midwives bullying womenElaine Dietsch, and others | Science Direct
 
",This is a collection of the five most read reports and commentary pieces in the Indigenous area in 2009 on APO.,Aboriginal Australians
20544,The viability of wildlife enterprises in remote Indigenous communities of Australia,"Sustainable wildlife enterprises developed for commercial purposes are a potential source of economic and socio-cultural benefit for Indigenous people living in remote locations in Australia.
This paper examines the viability of a wildlife enterprise in Arnhem Land (Northern Territory) that harvests three animal species for commercial sale: saltwater crocodiles (Crocodylus porosus), northern long-necked turtles (Chelodina rugosa) and tarantula spiders (Selenotholus sp.).
",,Aboriginal Australians
20831,Police diversion of young offenders and Indigenous over-representation,"
This study of an offender cohort in Queensland addressed three research questions: the proportion of Indigenous and non-Indigenous young people who had contact with the juvenile justice system and the extent of this contact; the processes used to respond to offending by Indigenous and non-Indigenous young people and any disparity based on Indigenous status; the impact of police diversion on re-contact with the juvenile justice system for Indigenous and non-Indigenous young people. While confirming Indigenous over-representation in the justice system and in court for a first offence, the study highlights the need to develop, implement and evaluate appropriate programs to reduce initiation of offending and reoffending by Indigenous young people. This paper was commissioned by the Criminology Research Council.
Authors: Troy Allard, Anna Stewart, April Chrzanowski, James Ogilvie, Dan Birks and Simon Little
",,Aboriginal Australians
21431,Aboriginal communities and the police's Taskforce Themis," 
Between January and June 2009 the North Australian Aboriginal Justice Agency (NAAJA) and the Central Australian Aboriginal Legal Aid Services (CAALAS) auspiced research into policing under the NTER (‘the Intervention’), in particular the establishment of 18 new police stations in Aboriginal communities. The findings of the research are primarily based on 331 surveys of Aboriginal people in 14 of the 18 communities, and around 70 interviews with elders, community representatives, police and other service providers in those communities. This data was supplemented with statistical data from the courts and from the police.
Overall, 17% of respondents believed ‘everything’ in their communities had improved since the start of Themis; conversely 14% of respondents believed ‘nothing’ had improved. Problems that are visible in public spaces had improved the most; these were alcohol (46%) and community violence (45%); less visible crimes like marijuana use, sexual assault and stealing recorded less improvement.
Overall, 75% of respondents wanted a permanent police presence and 53% believed the police were doing a good job (compared with 59% across the NT generally according to the NTPFES Annual Report 07/08). There was a slight decrease in positive feelings towards the police since the start of Themis.
These figures hide very large differences between communities. For example, in some communities less than one fifth of people reported improvements in alcohol whereas 90% of people in other communities reported improvements. The proportion of people who believed that police were doing a good job ranged from 11% to 85%. People’s feelings about the police often underwent big changes, positive and negative, since the initial establishment of the stations. Nowhere did less than a majority want a continued police presence.
What the research highlights is the massive differences in experience with the police between different locations. In different places, police worked in different ways, targeted different crimes (though with a general focus on ‘public’ offences like alcohol, and traffic offences), and had different levels and types of engagement with the community.
 
Image: Ewen Bell / Flickr
",,Aboriginal Australians
21494,"The health and welfare of Australia's Aboriginal and Torres Strait Islander peoples, Oct 2010 ","
This release provides a comprehensive statistical  overview, largely at the national level, of Aboriginal and Torres Strait  Islander health and welfare. Focussing on topics considered important  for the health of Australia's Indigenous population this release  presents the latest analysis and results from key national statistical  collections including: the 2008 National Aboriginal and Torres Strait  Islander Social Survey; the 2004-05 National Aboriginal and Torres  Strait Islander Health Survey; and the 2006 Census of Population and  Housing. Following on from the previous biennial series of printed reports, this  electronic release aims to present comprehensive analysis on a more  frequent basis. Information presented will be regularly updated as new  source data becomes available, and the range of topics covered will be  expanded as new analysis is incorporated.
Key findings:
The Aboriginal and Torres Strait Islander population comprises around 2.5% of the Australian population and is relatively young. 
Aboriginal and Torres Strait Islander Australians have lower life expectancy than non-Indigenous Australians. 
Aboriginal and Torres Strait Islander language and culture is being maintained. 
Socioeconomic outcomes for Aboriginal and Torres Strait  Islander Australians continue to improve, but remain below those for  non-Indigenous Australians.
",,Aboriginal Australians
23573,Top Indigenous reports 2010,"The five most read reports, websites and commentary pieces in the Indigenous issues area in 2010 were:
1. 8 Aboriginal ways of learningJames Cook University’s School of Indigenous Studies and the Western New South Wales Regional Aboriginal Education Team
2. Closing the gap on Indigenous disadvantageSarah Wenham, Lesley Russell | Menzies Centre for Health Policy
3. Aboriginal spirituality: Aboriginal philosophy, the basis of Aboriginal social and emotional wellbeingVicki Grieves | Cooperative Research Centre for Aboriginal Health
4. Indigenous education 2010Helen Hughes, Mark Hughes |  Centre for Independent Studies
5. Framework for measuring wellbeing: Aboriginal and Torres Strait Islander peoples, 2010Australian Bureau of Statistics
 
Image: pierre pouliquin / flickr
","This is a collection of the five most read reports, websites and commentary pieces in the Indigenous issues area in 2010 #onAPO.",Aboriginal Australians
23648,Understanding and preventing Indigenous offending,"Indigenous over-representation is the most significant social justice and public policy issue for the Australian and New Zealand criminal justice systems. 
Closing the gap on Indigenous overrepresentation has been identified as a priority and promoted through the National Indigenous Law and Justice Framework and Reducing Offending by Māori Projec.
This research brief reports on the data available regarding Indigenous offending patterns, and finds that over- representation is particularly acute with regard to acts intended to cause injury, public order offences, offences against justice and unlawful entry. Like other offenders, Indigenous offenders are very likely to be male, substance abusers, unemployed and poor. The legacies of colonisation, dispossession and child removal policies, such as psychological distress and social disorganisation, also appear to be risk factors. The implications of these findings for crime prevention are examined.
Image: !borghetti / flickr
",,Aboriginal Australians
24719,Talking together – relations between police and Aboriginal and Torres Strait Islanders in Victoria,"Assessing outcomes from the Victoria Police Aboriginal Strategic Plan 2003-2008, this report finds there have been significant improvements in police-Koori relations in some areas.

The report recommends that Aboriginal and Torres Strait Islander cultural training be a prerequisite for all police prior to deployment to an area where there is a significant Koori population.
The report also recommends that Victoria Police consider increasing the number of appropriately trained full-time Police Aboriginal Liaison Officers. Victoria Police should consider employing and training more Aboriginal Community Liaison Officers, particularly with a view to preparing young Kooris for police recruit training.
The report commended Victoria Police initiatives in Shepparton and Echuca in particular as a model for statewide action.
",,Aboriginal Australians
26678,"'I succeeded once': the Aboriginal Protectorate on the Mornington Peninsula, 1839–1840","This online book makes the work of William Thomas accessible to  anthropologists, archaeologists, historians and the descendants of the  Aboriginal people he wrote about. 

More importantly, people who live,  work, study, holiday or just have a general interest in the area from  Melbourne to Point Nepean can learn about the original inhabitants  who  walked the land before it was cleared for agriculture and urban  development. Of course, development of the Mornington Peninsula is  ongoing and this book will help those involved in development or the  management of Aboriginal cultural  heritage to identify, document and  protect Aboriginal places that may not be identifiable through  archaeological investigations alone. Marie Fels supplements Thomas's  writings with other contemporary accounts and her exhaustive historical  research sheds new light on critical events and the significant places  of the Boon Wurrung people. Of particular importance is the critical  review of information about the kidnapping of Boon Wurrung people from  the Mornington Peninsula.
Image: Lauri Väin / flickr
",,Aboriginal Australians
27461,Indigenous cultural and natural resource management futures,"This paper has a specific focus on lessons that the authors have learnt from working  with Indigenous peoples engaged in cultural and natural resource  management projects in northern Australia and New South Wales. 
It is  based on action research currently being undertaken under the five-year  research project People on Country, Healthy Landscapes and Indigenous  Economic Futures (PoC) and a related three-year project investigating  the socioeconomic benefits of Aboriginal people being involved in the  sustainable management of their country in NSW.
Authors: Jon Altman, Seán Kerins, Janet Hunt, Emilie Ens, Katherine May, Susie Russell and Bill Fogarty.
 
",,Aboriginal Australians
29634,Indigenous arts policy: initiatives and challenges ,"The Indigenous Arts Policy Forum held on 7 October 2011 showed that issues such as cultural maintenance, ownership, copyright, protection, promotion, funding and infrastructures are among the key challenges for Indigenous art policy development. 
The Forum participants called for cultural policy responses that could serve to ensure the safeguarding of Indigenous languages and cultural expressions, regulation related to copyright, and capacity-building for Indigenous artists regarding ownership and author’s rights. The responses to the survey conducted for this report show that while Indigenous arts practices are an element of interest to different agencies, many do not have specific policy priorities, programs or funding schemes to support such practices.
While Indigenous arts policies are particularly strong in countries with significant Indigenous population, such as Australia, Canada, New Zealand, Mexico and Peru , support for Indigenous arts themes in many other countries is provided through specific projects or as a part of the overall policy objectives of an agency. The survey also showed that while funding for Indigenous arts has, in most cases, increased during the past ten years it remains at a moderate level.
",,Aboriginal Australians
30211,Indigenous Australian-Indonesian intermarriage,"This story of Indigenous Australian-Indonesian intermarriage is one that sheds light on the changes to citizenship entitlement in Australia and the struggles of Aboriginal, Torres Strait Islander and Asian peoples to lead their lives free from government intervention. Indonesian-Australian contacts remain relatively unknown in Australian history. Early Macassan relations with the peoples of Northern Australia, brought to light by Campbell Macknight, stands out in Australian history as a significant first contact with Asia. More recently Regina Ganter has continued the Macassan story into the twentieth century exploring encounters with northern communities across Australia. But the story of wartime disruption faced by the families of Indonesian men and Aboriginal and Torres Strait Islander women and their long wait for citizenship rights has yet to be told.
As a study of Australian citizenship and marriage law, this article  discusses some of complex problems posed by this grey area of the law,  and the often incompatible regulations imposed by the separate state and  federal systems.
",,Aboriginal Australians
31555,Indigenous language usage,"This paper analyses data on those Aboriginal and Torres Strait Islander Australians who reported in the 2006 and 2011 Censuses of  Population and Housing that they spoke an Indigenous language at home.

The analysis shows an increase in the number of Indigenous language  speakers from 51,990 in 2006 to 60,550 in 2011. However, as the number  of people identified as being Indigenous also increased over the last  intercensal period, there was in fact a small decline in the percentage  of the relevant population speaking an Indigenous language-from  12.1 per cent to 11.6 per cent. The paper also looks at the geographic  and demographic distribution of Indigenous language usage.
",,Aboriginal Australians
32058,Victorian Aboriginal affairs framework 2013–2018,"The Victorian Government has developed a strengthened Victorian Aboriginal Affairs Framework 2013 - 2018 to bring together Government and Aboriginal community commitments and efforts and create a better future for Victoria’s Aboriginal population.
 Significantly the VAAF recognises and values Aboriginal culture, integrates government effort, identifies the accountabilities of Government departments, agencies and funded service providers. This will enable more effective monitoring and evaluation of performance.
The VAAF focuses effort and resources on six Strategic Action Areas that are central to closing the gap in Aboriginal disadvantage. Through the VAAF the Government is committing to 12 headline indicators with achievable targets.
",,Aboriginal Australians
32373,Most read research: Indigenous 2012,"The five most viewed research reports and commentary in APO's Indigenous section in 2012 based on number of pageviews.
{C}
1. What's data got to do with it? Reassessing the NT intervention, Eva Cox The Conversation, 25 January 2012 
2. Closing the gap Prime Minister's report 2012, Department of Families, Housing, Community Services and Indigenous Affairs, 27 February 2012 
3. Recognising a wicked problem, William Fogarty, Australian Policy Online, 29 June 2012 
4. Indigenous education 2012, Helen Hughes, Mark Hughes, Centre for Independent Studies, 27 June 2012
5. A death in Alice Springs, Kieran Finnane, Mark Finnane, Current Issues in Criminal Justice, 20 January 2012
Image: Flickr / Viajar24h.com
",,Aboriginal Australians
33296,Victorian Government Aboriginal affairs report 2012,"On 22 November 2012, the Victorian Aboriginal Affairs Framework 2013 – 2018 (VAAF) was released, strengthening the Government’s commitments to Aboriginal Victorians. The VAAF builds on the previous frameworks, setting clear priorities for building opportunities and responding to the needs of Aboriginal people over the next six years. The VAAF includes strategic indicators of progress, with specific targets, to ensure a focus on priority outcomes.
Underpinned by rigorous performance and accountability, the VAAF commits to stronger engagement with Aboriginal Victorians, better coordination, improved effort and systematic performance management and reporting, driven across government by the Secretaries Leadership Group on Aboriginal Affairs.
This Report delivers on the Government’s commitment to accountability and transparency, by continuing to release a whole of government annual Aboriginal affairs report that identifies progress against commitments, including targets.
On 24 March 2011, in a clear demonstration of bipartisan support for Closing the Gap, the Premier, the Deputy Premier and the Minister for Aboriginal Affairs, together with the Leader of the Opposition, the Shadow Spokesperson for Aboriginal Affairs, Aboriginal leaders and others, recommitted to the Close the Gap Statement of Intent at Parliament House.
The Victorian Government established four guiding principles to inform Victoria’s Aboriginal affairs policy intentions and delivery, which are now incorporated in the VAAF. These are: aspirations; accountability; engagement and inclusiveness; partnership building and a whole of community approach.
Government also set out important actions to be progressed to deliver the Government’s agenda for Aboriginal affairs. These include the development of Departmental Inclusion Action Plans, strengthening Victoria’s Aboriginal affairs framework and releasing an Aboriginal affairs report annually.
This Report outlines progress against VAAF priorities. It provides an analysis of the most recently available data and an overview of activity by Victorian Government departments up to the end of 2012.
The content of the 2012 Report aligns with the VAAF. It has a stronger emphasis on evaluation and reports against the identified targets and measures in the six VAAF Strategic Action Areas.
Progress reflects access by Aboriginal Victorians to State, Commonwealth and local government provided or funded services that are important in delivering improved outcomes for Aboriginal Victorians. Ultimately, it reflects the combined efforts of the Victorian Aboriginal community, all levels of government and other sectors.
",,Aboriginal Australians